"callnum","circ","lang","ctry"
"PA8442.V5 P6166 2007","1","lat","pl "
"PG3350.8 .F23 2008","0","rus","un "
"HV6433.G3 H49 2008","1","ger","gw "
"PN1995.9.H514 H58 2008","1","ger","gw "
"HD6119 .P38 2007","0","spa","ag "
"HD9975.A72 B88 2008","2","spa","ag "
"DR296.F37 B33 2003","0","rum","rm "
"DG62 .G85 2007","0","ita","it "
"PH3042 .S968 2007","0","hun","hu "
"HM1121 .S767 2008","0","ger","gw "
"PN710 .K553 2007","0","hun","hu "
"HQ281 .M45 2005","6","eng","th "
"N6820.6 .L67 2008","0","hun","hu "
"HQ792.G3 V67 2008","0","ger","gw "
"PR5403 .B44 2010","1","eng","nyu"
"PN2068 .D43 2009","0","eng","ne "
"PS3623.I58546 T8 2009","3","eng","nyu"
"PQ3919.2.C547 F4513 2009","0","eng","nyu"
"PS3613.I56245 B66 2009","0","eng","mnu"
"PQ7499.2.F55 C613 2008","0","eng","enk"
"PR6068.O93 Z524 2008","2","eng","nyu"
"PN6728.T256 Y55 2009","0","eng","nyu"
"PQ8097.N4 F513 2009","3","eng","wau"
"GV1589 .P67 2009","0","eng","ilu"
"PR6023.A655 G63 2008","1","eng","enk"
"PQ2663.I9 H9713 2009","0","eng","enk"
"PQ2623.U19 V3613 2008","1","eng","xr "
"PR9639.4.O47 S66 2009","0","eng","nyu"
"PS3552.O555 S86 2009","0","eng","aru"
"PR9199.4.S563 C47 2008","0","eng","quc"
"PQ7798.1.I7 F8313 2008","2","eng","nyu"
"PS3572.A39 L83 2009","0","eng","kyu"
"PN2308.L46 D85 2009","0","eng","enk"
"PN6112 .S36 2009","0","eng","nyu"
"PN6120.2 .S39 2008","1","eng","nyu"
"PR1175 .S388 2008","1","eng","nyu"
"JF801 .B454 2008","4","eng","enk"
"KZ6495 .C68 2007","1","eng","fr "
"JF1351 .B49 2009","1","eng","enk"
"JZ5588 .R49 2008","2","eng","mau"
"N6768.6 .T84 2008","0","eng","xxk"
"KF5505 .A44 2009","2","eng","dcu"
"GE105 .E36 2009","1","eng","mau"
"HQ800.3 .M38 2009","2","eng","nyu"
"HQ1058.5.U5 C657 2009","1","eng","nyu"
"Q143.H7 R63 2006","0","eng","enk"
